train,dev,test
0.94739966723654,0.568276288277573,0.6017802738481097
0.9425721369359804,0.5615512497075226,0.6032162629391836
0.9470387183605357,0.555536705921305,0.6015483797230619
0.9462557975202799,0.5524597585511705,0.5988690471276641
0.9426663937617321,0.5470461396842586,0.5993657102998422
0.9355171304941178,0.5422630263864994,0.5953188571333885
0.934144620217529,0.5453002536121536,0.592604580170968
0.9330790105920571,0.5462897215038538,0.5910786840205009
0.9293937531282317,0.5467922587720853,0.5861017622475354
0.9236966112145671,0.5493044313733224,0.5798079663956607
0.921138325062665,0.5582029203122313,0.571622940085151
0.9178711266389915,0.5678876607811877,0.5677711692239557
0.9093841277716452,0.5862923621347076,0.5619821339322809
0.9089271811575725,0.6014120138153948,0.5594377193985314
0.9002409562215967,0.6153093345336995,0.5583604887380438
0.9030506288011869,0.6243622890363137,0.5565327102939288
0.9018706889426122,0.6282010646384271,0.5581347507531526
0.8980222887569859,0.6350675784051418,0.5684712024465683
0.8983637307371412,0.6292431133370551,0.5829514014342475
0.8975110580213368,0.6250134316505864,0.5950929871760309
0.8920550075861123,0.6244690767847575,0.6080386303938352
0.8874224067637415,0.6217297547017083,0.6134940390333985
0.8830659874339601,0.6191398729361705,0.6192234883557505
0.8779678804909482,0.6224930879166898,0.6220199794453733
0.8750885763893956,0.6285209393371707,0.6198246997335682
0.8727013907262258,0.6315128953329154,0.6176603483302253
0.871248444620992,0.6358362424751403,0.6153563533870268
0.8660557965437571,0.6369954311392374,0.6153606288135052
0.8642889277575767,0.6381126794300668,0.6138171100453155
0.8618750515821818,0.6317609291825745,0.6081091737425005
0.8599405845006307,0.6242187578479449,0.6030300507942835
0.8584709175323185,0.6172194313257933,0.5971447721515831
0.8610352006825533,0.6103710927940035,0.5908859142815912
0.8552583478964292,0.6035870093947802,0.5852307366828123
0.8525070653686041,0.5972213823395439,0.5795928895284858
0.8488260179758071,0.5922274160198867,0.5741463008336722
0.8493503354213856,0.5941831045496611,0.5701284816051707
0.846562155136248,0.5981577150523663,0.5667597606959867
0.8424484535872218,0.6016314606889185,0.5675882739295443
0.8367246417772203,0.6053118438770374,0.5652038865678367
0.8327413804390851,0.6064508973675615,0.5629529047538252
0.8302822119967882,0.6154334908134715,0.5594577653290227
0.8295442742862921,0.6266417903290398,0.5570877717658022
0.8288969783620401,0.6367324688048526,0.5553020336241885
0.8270051332002275,0.6435868769381823,0.5511832224686494
0.8246964010927412,0.6470251602431139,0.5487709099219905
0.8256014860593356,0.6490000311981191,0.5479681902043112
0.8230313321818477,0.6455931516931109,0.5445826025274785
0.8211011143140895,0.6419562081335694,0.540573613537896
0.8225768411413152,0.638129924760854,0.5373367610922519
0.8209103578015378,0.6338840041505663,0.5334738609822173
0.8204525305579106,0.6290140464746704,0.5298257668036968
0.8205798796771728,0.6252916337749392,0.5259067255657973
0.8189765969101264,0.6232460030943764,0.5228825489021077
0.8162026266859035,0.6203129399153922,0.5202888723726224
0.8127677816152573,0.6181395580619573,0.5174474153667689
0.8113326217868541,0.6199677512049675,0.5150975258191033
0.8098824719587961,0.6189051179178789,0.5121999265370416
0.8081262875529169,0.6193519578252024,0.5096379859210218
0.805495407145757,0.6255218434649018,0.5073494151091347
0.8036297168050494,0.6240763317261423,0.505332891075384
0.8012998806980421,0.6194231444794052,0.5028154956141733
0.7992861744399383,0.6148920658732129,0.5014385895055031
0.7984874513414171,0.6127538472000096,0.49911068924875174
0.7986629124081462,0.6093169138382334,0.4981650498892189
0.7992110301147808,0.6054095995019783,0.49637836969711563
0.7972561990892565,0.604248586605798,0.49521393275207226
0.7938826414091247,0.6064957796063807,0.49292175518348813
0.7923157542152742,0.6093292062920806,0.4923529980325066
0.7901130872860289,0.613957766443491,0.49254760427171723
0.7914602601009867,0.6184897045078485,0.4933281024513037
0.7888536337634613,0.6210138998797228,0.4937643703587096
